question_id,image,acceptance_set,targets,scene_form,primary_label,primary_measure_degrees,secondary_label,secondary_measure_degrees,comparison_summary
angle_estimation_0001_open_q1,angle_estimation_0001.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=298; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,298,none,none,reflex
angle_estimation_0394_open_q1,angle_estimation_0394.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=68; secondary_label=Angle 1; secondary_measure_degrees=22; comparison_summary=wider-to-narrower ratio 3.06""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,68,Angle 1,22,wider-to-narrower ratio 3.06
angle_estimation_0395_open_q1,angle_estimation_0395.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=145; secondary_label=Angle 1; secondary_measure_degrees=45; comparison_summary=wider-to-narrower ratio 3.21""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,145,Angle 1,45,wider-to-narrower ratio 3.21
angle_estimation_0396_open_q1,angle_estimation_0396.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=B; secondary_measure_degrees=30; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,90,B,30,middle vertex C
angle_estimation_0397_open_q1,angle_estimation_0397.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=91; secondary_label=B; secondary_measure_degrees=29; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,91,B,29,middle vertex C
angle_estimation_0398_open_q1,angle_estimation_0398.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=B; secondary_measure_degrees=44; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,90,B,44,middle vertex C
angle_estimation_0399_open_q1,angle_estimation_0399.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=B; secondary_measure_degrees=31; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,89,B,31,middle vertex C
angle_estimation_0400_open_q1,angle_estimation_0400.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=91; secondary_label=C; secondary_measure_degrees=44; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,91,C,44,middle vertex B
angle_estimation_0401_open_q1,angle_estimation_0401.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=155; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,155,none,none,minor
angle_estimation_0402_open_q1,angle_estimation_0402.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=246; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,246,none,none,reflex
angle_estimation_0403_open_q1,angle_estimation_0403.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=126; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,126,none,none,minor
angle_estimation_0404_open_q1,angle_estimation_0404.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=313; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,313,none,none,reflex
angle_estimation_0405_open_q1,angle_estimation_0405.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=180; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,180,none,none,minor
angle_estimation_0406_open_q1,angle_estimation_0406.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=276; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,276,none,none,reflex
angle_estimation_0407_open_q1,angle_estimation_0407.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=292; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,292,none,none,reflex
angle_estimation_0408_open_q1,angle_estimation_0408.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=100; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,100,none,none,minor
angle_estimation_0409_open_q1,angle_estimation_0409.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=168; secondary_label=Angle 1; secondary_measure_degrees=150; comparison_summary=wider-to-narrower ratio 1.12""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,168,Angle 1,150,wider-to-narrower ratio 1.12
angle_estimation_0410_open_q1,angle_estimation_0410.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=58; secondary_label=Angle 1; secondary_measure_degrees=25; comparison_summary=wider-to-narrower ratio 2.37""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,58,Angle 1,25,wider-to-narrower ratio 2.37
angle_estimation_0411_open_q1,angle_estimation_0411.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=107; secondary_label=Angle 1; secondary_measure_degrees=62; comparison_summary=wider-to-narrower ratio 1.71""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,107,Angle 1,62,wider-to-narrower ratio 1.71
angle_estimation_0412_open_q1,angle_estimation_0412.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=106; secondary_label=Angle 1; secondary_measure_degrees=10; comparison_summary=wider-to-narrower ratio 10.42""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,106,Angle 1,10,wider-to-narrower ratio 10.42
angle_estimation_0413_open_q1,angle_estimation_0413.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=66; secondary_label=Angle 1; secondary_measure_degrees=33; comparison_summary=wider-to-narrower ratio 2.03""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,66,Angle 1,33,wider-to-narrower ratio 2.03
angle_estimation_0414_open_q1,angle_estimation_0414.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=158; secondary_label=Angle 1; secondary_measure_degrees=11; comparison_summary=wider-to-narrower ratio 14.07""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,158,Angle 1,11,wider-to-narrower ratio 14.07
angle_estimation_0415_open_q1,angle_estimation_0415.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=100; secondary_label=Angle 1; secondary_measure_degrees=45; comparison_summary=wider-to-narrower ratio 2.23""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,100,Angle 1,45,wider-to-narrower ratio 2.23
angle_estimation_0416_open_q1,angle_estimation_0416.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=123; secondary_label=C; secondary_measure_degrees=26; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,123,C,26,middle vertex B
angle_estimation_0417_open_q1,angle_estimation_0417.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=129; secondary_label=B; secondary_measure_degrees=24; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,129,B,24,middle vertex C
angle_estimation_0418_open_q1,angle_estimation_0418.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=104; secondary_label=C; secondary_measure_degrees=34; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,104,C,34,middle vertex B
angle_estimation_0419_open_q1,angle_estimation_0419.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=103; secondary_label=B; secondary_measure_degrees=28; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,103,B,28,middle vertex C
angle_estimation_0420_open_q1,angle_estimation_0420.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=109; secondary_label=B; secondary_measure_degrees=22; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,109,B,22,middle vertex C
angle_estimation_0421_open_q1,angle_estimation_0421.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=218; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,218,none,none,reflex
angle_estimation_0422_open_q1,angle_estimation_0422.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=12; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,12,none,none,minor
angle_estimation_0423_open_q1,angle_estimation_0423.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=194; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,194,none,none,reflex
angle_estimation_0424_open_q1,angle_estimation_0424.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=283; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,283,none,none,reflex
angle_estimation_0425_open_q1,angle_estimation_0425.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=45; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,45,none,none,minor
angle_estimation_0426_open_q1,angle_estimation_0426.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=258; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,258,none,none,reflex
angle_estimation_0427_open_q1,angle_estimation_0427.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=287; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,287,none,none,reflex
angle_estimation_0428_open_q1,angle_estimation_0428.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=191; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,191,none,none,reflex
angle_estimation_0429_open_q1,angle_estimation_0429.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=75; secondary_label=Angle 1; secondary_measure_degrees=14; comparison_summary=wider-to-narrower ratio 5.45""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,75,Angle 1,14,wider-to-narrower ratio 5.45
angle_estimation_0430_open_q1,angle_estimation_0430.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=127; secondary_label=Angle 1; secondary_measure_degrees=44; comparison_summary=wider-to-narrower ratio 2.91""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,127,Angle 1,44,wider-to-narrower ratio 2.91
angle_estimation_0431_open_q1,angle_estimation_0431.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=124; secondary_label=Angle 1; secondary_measure_degrees=14; comparison_summary=wider-to-narrower ratio 8.98""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,124,Angle 1,14,wider-to-narrower ratio 8.98
angle_estimation_0432_open_q1,angle_estimation_0432.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=63; secondary_label=Angle 2; secondary_measure_degrees=36; comparison_summary=wider-to-narrower ratio 1.74""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,63,Angle 2,36,wider-to-narrower ratio 1.74
angle_estimation_0433_open_q1,angle_estimation_0433.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=161; secondary_label=Angle 2; secondary_measure_degrees=32; comparison_summary=wider-to-narrower ratio 5.07""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,161,Angle 2,32,wider-to-narrower ratio 5.07
angle_estimation_0434_open_q1,angle_estimation_0434.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=140; secondary_label=Angle 2; secondary_measure_degrees=13; comparison_summary=wider-to-narrower ratio 10.56""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,140,Angle 2,13,wider-to-narrower ratio 10.56
angle_estimation_0435_open_q1,angle_estimation_0435.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=56; secondary_label=Angle 1; secondary_measure_degrees=25; comparison_summary=wider-to-narrower ratio 2.26""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,56,Angle 1,25,wider-to-narrower ratio 2.26
angle_estimation_0436_open_q1,angle_estimation_0436.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=71; secondary_label=A; secondary_measure_degrees=50; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,C,71,A,50,middle vertex B
angle_estimation_0437_open_q1,angle_estimation_0437.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=74; secondary_label=B; secondary_measure_degrees=49; comparison_summary=middle vertex A""]","[""the printed vertex A""]",labelled triangle,C,74,B,49,middle vertex A
angle_estimation_0438_open_q1,angle_estimation_0438.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=71; secondary_label=B; secondary_measure_degrees=53; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,71,B,53,middle vertex C
angle_estimation_0439_open_q1,angle_estimation_0439.png,"[""scene_form=labelled triangle; primary_label=B; primary_measure_degrees=74; secondary_label=A; secondary_measure_degrees=51; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,B,74,A,51,middle vertex C
angle_estimation_0440_open_q1,angle_estimation_0440.png,"[""scene_form=labelled triangle; primary_label=C; primary_measure_degrees=69; secondary_label=A; secondary_measure_degrees=52; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,C,69,A,52,middle vertex B
angle_estimation_0441_open_q1,angle_estimation_0441.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=246; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,246,none,none,reflex
angle_estimation_0442_open_q1,angle_estimation_0442.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=161; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,161,none,none,minor
angle_estimation_0443_open_q1,angle_estimation_0443.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=17; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,17,none,none,minor
angle_estimation_0444_open_q1,angle_estimation_0444.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=15; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,15,none,none,minor
angle_estimation_0445_open_q1,angle_estimation_0445.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=45; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,45,none,none,minor
angle_estimation_0446_open_q1,angle_estimation_0446.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=242; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,242,none,none,reflex
angle_estimation_0447_open_q1,angle_estimation_0447.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=189; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,189,none,none,reflex
angle_estimation_0448_open_q1,angle_estimation_0448.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=50; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,50,none,none,minor
angle_estimation_0449_open_q1,angle_estimation_0449.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=105; secondary_label=Angle 1; secondary_measure_degrees=88; comparison_summary=wider-to-narrower ratio 1.19""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,105,Angle 1,88,wider-to-narrower ratio 1.19
angle_estimation_0450_open_q1,angle_estimation_0450.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=161; secondary_label=Angle 2; secondary_measure_degrees=144; comparison_summary=wider-to-narrower ratio 1.12""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,161,Angle 2,144,wider-to-narrower ratio 1.12
angle_estimation_0451_open_q1,angle_estimation_0451.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=58; secondary_label=Angle 2; secondary_measure_degrees=37; comparison_summary=wider-to-narrower ratio 1.55""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,58,Angle 2,37,wider-to-narrower ratio 1.55
angle_estimation_0452_open_q1,angle_estimation_0452.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=134; secondary_label=Angle 1; secondary_measure_degrees=52; comparison_summary=wider-to-narrower ratio 2.56""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,134,Angle 1,52,wider-to-narrower ratio 2.56
angle_estimation_0453_open_q1,angle_estimation_0453.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=117; secondary_label=Angle 1; secondary_measure_degrees=95; comparison_summary=wider-to-narrower ratio 1.22""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,117,Angle 1,95,wider-to-narrower ratio 1.22
angle_estimation_0454_open_q1,angle_estimation_0454.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=63; secondary_label=Angle 2; secondary_measure_degrees=17; comparison_summary=wider-to-narrower ratio 3.6""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,63,Angle 2,17,wider-to-narrower ratio 3.6
angle_estimation_0455_open_q1,angle_estimation_0455.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=100; secondary_label=Angle 1; secondary_measure_degrees=71; comparison_summary=wider-to-narrower ratio 1.41""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,100,Angle 1,71,wider-to-narrower ratio 1.41
angle_estimation_0456_open_q1,angle_estimation_0456.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=B; secondary_measure_degrees=40; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,90,B,40,middle vertex C
angle_estimation_0457_open_q1,angle_estimation_0457.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=90; secondary_label=B; secondary_measure_degrees=33; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,90,B,33,middle vertex C
angle_estimation_0458_open_q1,angle_estimation_0458.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=C; secondary_measure_degrees=42; comparison_summary=middle vertex B""]","[""the printed vertex A""]",labelled triangle,A,89,C,42,middle vertex B
angle_estimation_0459_open_q1,angle_estimation_0459.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=89; secondary_label=B; secondary_measure_degrees=43; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,89,B,43,middle vertex C
angle_estimation_0460_open_q1,angle_estimation_0460.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=91; secondary_label=B; secondary_measure_degrees=34; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,91,B,34,middle vertex C
angle_estimation_0461_open_q1,angle_estimation_0461.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=201; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,201,none,none,reflex
angle_estimation_0462_open_q1,angle_estimation_0462.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=35; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,35,none,none,minor
angle_estimation_0463_open_q1,angle_estimation_0463.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=170; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,170,none,none,minor
angle_estimation_0464_open_q1,angle_estimation_0464.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=196; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,196,none,none,reflex
angle_estimation_0465_open_q1,angle_estimation_0465.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=30; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,30,none,none,minor
angle_estimation_0466_open_q1,angle_estimation_0466.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=109; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,109,none,none,minor
angle_estimation_0467_open_q1,angle_estimation_0467.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=147; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,147,none,none,minor
angle_estimation_0468_open_q1,angle_estimation_0468.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=30; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,30,none,none,minor
angle_estimation_0469_open_q1,angle_estimation_0469.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=93; secondary_label=Angle 1; secondary_measure_degrees=45; comparison_summary=wider-to-narrower ratio 2.06""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,93,Angle 1,45,wider-to-narrower ratio 2.06
angle_estimation_0470_open_q1,angle_estimation_0470.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=65; secondary_label=Angle 2; secondary_measure_degrees=31; comparison_summary=wider-to-narrower ratio 2.1""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,65,Angle 2,31,wider-to-narrower ratio 2.1
angle_estimation_0471_open_q1,angle_estimation_0471.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=146; secondary_label=Angle 1; secondary_measure_degrees=37; comparison_summary=wider-to-narrower ratio 3.98""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,146,Angle 1,37,wider-to-narrower ratio 3.98
angle_estimation_0472_open_q1,angle_estimation_0472.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=168; secondary_label=Angle 2; secondary_measure_degrees=83; comparison_summary=wider-to-narrower ratio 2.03""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,168,Angle 2,83,wider-to-narrower ratio 2.03
angle_estimation_0473_open_q1,angle_estimation_0473.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=70; secondary_label=Angle 1; secondary_measure_degrees=19; comparison_summary=wider-to-narrower ratio 3.74""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,70,Angle 1,19,wider-to-narrower ratio 3.74
angle_estimation_0474_open_q1,angle_estimation_0474.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=117; secondary_label=Angle 2; secondary_measure_degrees=76; comparison_summary=wider-to-narrower ratio 1.53""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,117,Angle 2,76,wider-to-narrower ratio 1.53
angle_estimation_0475_open_q1,angle_estimation_0475.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=139; secondary_label=Angle 2; secondary_measure_degrees=100; comparison_summary=wider-to-narrower ratio 1.39""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,139,Angle 2,100,wider-to-narrower ratio 1.39
angle_estimation_0476_open_q1,angle_estimation_0476.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=138; secondary_label=B; secondary_measure_degrees=19; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,138,B,19,middle vertex C
angle_estimation_0477_open_q1,angle_estimation_0477.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=111; secondary_label=B; secondary_measure_degrees=22; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,111,B,22,middle vertex C
angle_estimation_0478_open_q1,angle_estimation_0478.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=99; secondary_label=B; secondary_measure_degrees=40; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,99,B,40,middle vertex C
angle_estimation_0479_open_q1,angle_estimation_0479.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=119; secondary_label=B; secondary_measure_degrees=29; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,119,B,29,middle vertex C
angle_estimation_0480_open_q1,angle_estimation_0480.png,"[""scene_form=labelled triangle; primary_label=A; primary_measure_degrees=110; secondary_label=B; secondary_measure_degrees=30; comparison_summary=middle vertex C""]","[""the printed vertex A""]",labelled triangle,A,110,B,30,middle vertex C
angle_estimation_0481_open_q1,angle_estimation_0481.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=171; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,171,none,none,minor
angle_estimation_0482_open_q1,angle_estimation_0482.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=112; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,112,none,none,minor
angle_estimation_0483_open_q1,angle_estimation_0483.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=285; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,285,none,none,reflex
angle_estimation_0484_open_q1,angle_estimation_0484.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=161; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,161,none,none,minor
angle_estimation_0485_open_q1,angle_estimation_0485.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=45; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,45,none,none,minor
angle_estimation_0486_open_q1,angle_estimation_0486.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=71; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,71,none,none,minor
angle_estimation_0487_open_q1,angle_estimation_0487.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=117; secondary_label=none; secondary_measure_degrees=none; comparison_summary=minor""]","[""the marked arc""]",one marked angle,marked angle,117,none,none,minor
angle_estimation_0488_open_q1,angle_estimation_0488.png,"[""scene_form=one marked angle; primary_label=marked angle; primary_measure_degrees=257; secondary_label=none; secondary_measure_degrees=none; comparison_summary=reflex""]","[""the marked arc""]",one marked angle,marked angle,257,none,none,reflex
angle_estimation_0489_open_q1,angle_estimation_0489.png,"[""scene_form=two labelled angles; primary_label=Angle 2; primary_measure_degrees=68; secondary_label=Angle 1; secondary_measure_degrees=18; comparison_summary=wider-to-narrower ratio 3.68""]","[""the printed label Angle 1""]",two labelled angles,Angle 2,68,Angle 1,18,wider-to-narrower ratio 3.68
angle_estimation_0490_open_q1,angle_estimation_0490.png,"[""scene_form=two labelled angles; primary_label=Angle 1; primary_measure_degrees=138; secondary_label=Angle 2; secondary_measure_degrees=32; comparison_summary=wider-to-narrower ratio 4.27""]","[""the printed label Angle 1""]",two labelled angles,Angle 1,138,Angle 2,32,wider-to-narrower ratio 4.27
